,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
30000,1083548110917142090,https://www.airbnb.com/rooms/1083548110917142090,20250617032754,2025-06-17,city scrape,3fl of 2fam house,"What can I say it's Brooklyn. NO MORE THAN 25 MINUTES TO EVERYTHING!!! Lots to do by car, public transport or  walking. 20 min drive to JFK airport, Riis Beach, or Coney Island 20 min ride to Barclays Center (Dwntn Bklyn), or Manhattan, 7 min walk to Brooklyn College, coffee shops, transportation, shopping and restaurants at Flatbush Avenue Junction.<br /><br />Text Mike 24hrs a day!","Beautiful and vibrant, East Flatbush is still largely populated by Caribbean American professionals and their families.  However, the neighborhood has experienced an explosion of new large buildings and an influx of many people of diverse backgrounds.  There is also an increase in commercial amenities with regards to shopping.  Still try to enjoy some good Caribbean American local food.   This place is conveniently positioned close to everywhere.",https://a0.muscache.com/pictures/f94365c6-26c2-47d9-bf97-c66c30241384.jpg,183024421,https://www.airbnb.com/users/show/183024421,Michael,2018-04-07,,,within an hour,100%,83%,t,https://a0.muscache.com/im/pictures/user/3cd9f07d-2845-48e2-b7cf-cfe64d52330f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3cd9f07d-2845-48e2-b7cf-cfe64d52330f.jpg?aki_policy=profile_x_medium,East Flatbush,3.0,5.0,"['email', 'phone']",t,t,Neighborhood highlights,East Flatbush,Brooklyn,40.6375253027192,-73.94254929127837,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,2.0,"[""Dedicated workspace"", ""Pets allowed"", ""Fire extinguisher"", ""40 inch TV"", ""Kitchen"", ""First aid kit"", ""Smoke alarm"", ""Refrigerator"", ""Window AC unit"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Lockbox"", ""Coffee maker: drip coffee maker""]",$99.00,30,365,30,30,365,365,30.0,365.0,,t,0,15,45,320,2025-06-17,1,1,0,153,1,60,5940.0,2024-07-04,2024-07-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,3,3,0,0,0.09
30200,1094761010140633632,https://www.airbnb.com/rooms/1094761010140633632,20250617032754,2025-06-17,city scrape,Deluxe King at The Lucerne Hotel!,"The luxury property in New York’s very own neighborhood city, Manhattan, is imbued with European-inspired architectural charm. With some of the attractions like Madison Square Garden, the Metropolitan Museum of Art, and the Empire State Building minutes away, this sophisticated Upper West Side property provides comfort and convenience to guests lodging for business or leisure.",- Beacon Theatre – 0.2 mile; <br />- Theodore Roosevelt Memorial – 0.3 mile; <br />- New-York Historical Society – 0.5 mile; <br />- American Museum of Natural History – 0.5 mile; <br />- Central Park – 0.5 mile; <br />- West 71st Street Historic District – 0.7 mile; <br />- Metropolitan Museum of Art – 1.2 mile; <br />- Museum of Modern Art – 1.7 mile; <br />- Time Square – 2.1 miles; <br />- Grand Central Station – 3.0 miles; <br />- Rockefeller Center – 3.0 miles; <br />- Madison Square Garden – 3.2 miles; <br />- Empire State Building – 3.7 miles; <br />- Yankee Stadium – 5.4miles; <br />- Statue of Liberty – 6.7 miles; <br />- LaGuardia Airport – 9.6 miles,https://a0.muscache.com/pictures/prohost-api/Hosting-1094761010140633632/original/64528e71-2024-4811-b038-a58eae8fa7e5.jpeg,501999278,https://www.airbnb.com/users/show/501999278,RoomPicks,2023-02-20,,,within an hour,100%,87%,f,https://a0.muscache.com/im/pictures/user/878362e2-a2de-4cea-a340-58d2bac8641e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/878362e2-a2de-4cea-a340-58d2bac8641e.jpg?aki_policy=profile_x_medium,Gateway District,3095.0,6397.0,"['email', 'phone']",t,t,Neighborhood highlights,Upper West Side,Manhattan,40.78347,-73.97849,Room in hotel,Hotel room,2,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""TV"", ""Hangers"", ""Fire extinguisher"", ""Bed linens"", ""First aid kit"", ""Smoke alarm"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Gym"", ""Building staff"", ""Shampoo""]","$40,000.00",1,1125,1,1,1,1125,1.0,75.4,,t,20,47,74,344,2025-06-17,0,0,0,179,0,0,0.0,,,,,,,,,,Exempt,t,157,0,6,0,
30400,1105739143389361272,https://www.airbnb.com/rooms/1105739143389361272,20250617032754,2025-06-17,city scrape,Housemade pasta & wood-fired pizza at Leuca,"Sleep soundly above the city in two pillowy double beds, then wake up to brilliant views of Brooklyn. Have coffee made in your in-room Lavazza machine on your private, fully furnished 155 square foot balcony, or plan your day from the cozy chaise lounge: At The William Vale, the choice is yours. Come back in the evenings for a nightcap overlooking the lights of the always-vibrant city.",,https://a0.muscache.com/pictures/prohost-api/Hosting-1105739143389361272/original/94b92d0f-66a0-4ef9-9757-6ff554b67f9c.jpeg,564458878,https://www.airbnb.com/users/show/564458878,The William Vale,2024-02-28,,"- An architectural stunner, this contemporary gem offers balconies off every stylishly appointed room.
- Elevate your experience above the city at Westlight, the rooftop lounge and bar offering seasonal cocktails.
- Gather with family and friends at Leuca, where southern Italian flair harmonizes with fresh, inspiring ingredients.
- The resort-style pool, open seasonally, features the longest outdoor pool in NYC and offers luxurious cabanas .",within an hour,100%,75%,t,https://a0.muscache.com/im/pictures/user/User-564458878/original/d12d9414-70e8-48c2-9eb2-639f26be490f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-564458878/original/d12d9414-70e8-48c2-9eb2-639f26be490f.jpeg?aki_policy=profile_x_medium,Greenpoint,15.0,15.0,"['email', 'phone']",t,t,,Williamsburg,Brooklyn,40.7224486,-73.9572598,Room in hotel,Private room,4,1.0,1 private bath,1.0,2.0,"[""Essentials"", ""Pool"", ""TV"", ""Hot water"", ""Crib"", ""Sauna"", ""Paid parking on premises"", ""Luggage dropoff allowed"", ""Pets allowed"", ""Bed linens"", ""Conditioner"", ""Smoke alarm"", ""Elevator"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Heating"", ""Air conditioning"", ""Shower gel"", ""Room-darkening shades"", ""Gym"", ""Building staff"", ""Shampoo""]",$726.00,1,365,1,1,28,731,1.0,686.7,,t,23,23,23,23,2025-06-17,0,0,0,23,0,0,0.0,,,,,,,,,,Exempt,t,15,0,15,0,
30600,1111672508046014380,https://www.airbnb.com/rooms/1111672508046014380,20250617032754,2025-06-17,city scrape,Embracing History: The Pierre's Majestic Offerings,"Stroll through iconic Central Park, moments away. Delight in world-class museums, boutiques galore, and Manhattan landmarks—all within walking distance or a quick cab ride. Experience the best of the city while staying in the heart of both Midtown and the refined Upper East Side.",- Central Park - 0.1 miles - Museum Mile - 1.8 miles- Rockefeller Center - 1.3 miles - St. Patrick's Cathedral - 1.5 miles- Carnegie Hall - 1.3 miles- 5th Avenue Shopping - 0.2 miles - Central Park Zoo - 0.3 miles- Metropolitan Museum of Art - 1.6 milesAirports:- LaGuardia Airport (LGA) - 12 miles- John F. Kennedy International Airport (JFK) - 15 miles - Newark Liberty International Airport (EWR) - 16 miles,https://a0.muscache.com/pictures/prohost-api/Hosting-1111672508046014380/original/c39b92fe-0d1a-47b6-b579-48bf9535f168.jpeg,501999278,https://www.airbnb.com/users/show/501999278,RoomPicks,2023-02-20,,,within an hour,100%,87%,f,https://a0.muscache.com/im/pictures/user/878362e2-a2de-4cea-a340-58d2bac8641e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/878362e2-a2de-4cea-a340-58d2bac8641e.jpg?aki_policy=profile_x_medium,Gateway District,3095.0,6397.0,"['email', 'phone']",t,t,Neighborhood highlights,Upper East Side,Manhattan,40.76503,-73.97167,Room in hotel,Hotel room,2,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""TV"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Crib"", ""Paid parking on premises"", ""Fire extinguisher"", ""Pets allowed"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Smoke alarm"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Extra pillows and blankets"", ""Gym"", ""Building staff"", ""Shampoo""]",$785.00,1,1125,1,1,1,1125,1.0,113.1,,t,29,59,89,336,2025-06-17,0,0,0,187,0,0,0.0,,,,,,,,,,Exempt,t,157,0,6,0,
30800,1122810910933359230,https://www.airbnb.com/rooms/1122810910933359230,20250617032754,2025-06-17,previous scrape,Brand New Your Own Bathroom in Flushing,"This comfortable room is prepared in 2022.<br /> <br />Your room is on 2nd floor.<br />This is 4 bedroom 2 bathroom shared apartment.<br />Your room is a private bathroom.<br /><br />You can use kitchen. There are dishes, silver, microwave, cooking items etc. You can enjoy cooking and save money in your trip!","Flushing Queens is a residential neighborhood.  <br />I have lived in Flushing for 4 years. I feel Flushing is really comfortable area.<br /><br />In addition,Flushing is just around 40min from Manhattan.<br />You will be able to have a great stay in this area, Flushing<br /><br />This house is also at same area to many shopping area.<br /><br />You can spend and enjoy your time there too!!",https://a0.muscache.com/pictures/miso/Hosting-1122810910933359230/original/edf303e7-d0ec-4360-be63-ba156c2d5477.png,204704622,https://www.airbnb.com/users/show/204704622,Momoyo,2018-07-24,,,within a few hours,86%,55%,f,https://a0.muscache.com/im/pictures/user/64b3c8f6-a0ca-4fd9-9e28-cdb89772ec07.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/64b3c8f6-a0ca-4fd9-9e28-cdb89772ec07.jpg?aki_policy=profile_x_medium,Woodside,294.0,306.0,"['email', 'phone']",t,t,Neighborhood highlights,Flushing,Queens,40.76408914109969,-73.82074350863596,Private room in home,Private room,2,,1 private bath,,,"[""Dedicated workspace"", ""Kitchen"", ""Smoke alarm"", ""Hangers"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating""]",,30,730,30,30,730,730,30.0,730.0,,t,0,0,0,0,2025-06-17,0,0,0,0,0,0,,,,,,,,,,,,f,215,2,213,0,
31000,1127629210723794052,https://www.airbnb.com/rooms/1127629210723794052,20250617032754,2025-06-17,city scrape,1BR near Columbus Circle ~W/D ~Elevator BLDG,"This brand new apartment is designed and furnished with comfort, luxury, and detail in mind. With plenty of natural light and a warm, sophisticated ambiance, it's sure to make you feel right at home. The fully equipped kitchen features brand new appliances, including a washer and dryer. The modern and chic bathroom, spacious dining table, and designated office space are just a few of the apartment's many amenities.","Located in the heart of Hell's Kitchen, this bustling neighborhood in Midtown Manhattan is known for its lively atmosphere, diverse food scene, and proximity to some of the city's top attractions. This area is a hub for theater and entertainment, with numerous Broadway theaters, comedy clubs, and music venues within walking distance. The nearby Hudson River Park provides a beautiful waterfront escape for running, biking, and outdoor activities, and the High Line elevated park is just a short walk away. The neighborhood is also known for its excellent dining options, with everything from casual cafes and bars to high-end restaurants serving cuisine from around the world. Additionally, this area is conveniently located near public transportation, making it easy to get anywhere in the city. Overall, Hell's Kitchen is a vibrant and exciting area with something for everyone, and it's the perfect place to experience the best of New York City.",https://a0.muscache.com/pictures/miso/Hosting-1127629210723794052/original/e8f0be23-18a7-4fc1-b7fc-ab7b6c1bbd89.jpeg,27181542,https://www.airbnb.com/users/show/27181542,JT Urban,2015-02-03,"New York, NY","I moved to New York about 14 years ago and I can't see myself anywhere else since then!
If you want to discover my amazing city I will be happy to share it with you ;-)
",within a few hours,97%,49%,f,https://a0.muscache.com/im/pictures/user/User-27181542/original/e3dac522-2681-48c6-8d81-1ccb5f710aa5.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-27181542/original/e3dac522-2681-48c6-8d81-1ccb5f710aa5.jpeg?aki_policy=profile_x_medium,Williamsburg,85.0,131.0,['phone'],t,t,Neighborhood highlights,Hell's Kitchen,Manhattan,40.76472,-73.98839,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,0.0,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Hot water"", ""Dining table"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Keypad"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Hot water kettle"", ""Toaster"", ""50 inch HDTV with Fire TV"", ""Wine glasses"", ""Microwave"", ""Bed linens"", ""Pets allowed"", ""Cleaning available during stay"", ""Smoke alarm"", ""Elevator"", ""Self check-in"", ""Clothing storage: closet"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Long term stays allowed"", ""Free street parking"", ""Central heating""]",$296.00,30,365,30,30,365,365,30.0,365.0,,t,0,28,58,333,2025-06-17,0,0,0,166,0,0,0.0,,,,,,,,,,,f,85,85,0,0,
31200,1139807825597315292,https://www.airbnb.com/rooms/1139807825597315292,20250617032754,2025-06-17,city scrape,73-1104 New Studio UWS Doorman Gym,"Welcome to The Tempo, a distinguished elevator doorman building situated in the heart of the Upper West Side. Nestled just one block away from the West 72nd Street express subway station, our prime location positions you conveniently between the scenic Riverside and Central Park. The Tempo offers a 24-hour attended lobby, a fully-equipped gym, and a laundry room for your convenience.","Nestled between two picturesque parks, the Upper West Side stands out as one of Manhattan's lushest neighborhoods. Its enduring popularity can be attributed to its exceptional elementary schools, secure streets, and vibrant atmosphere. The Upper West Side exudes an air of tranquility, yet it's far from monotonous. Along Amsterdam Avenue, you'll discover a plethora of cozy bars and eateries, while Broadway pulsates as a perpetual hub of commerce.<br /><br />This neighborhood's broad, tree-lined avenues still house numerous cherished mom-and-pop shops. While it may not possess the opulence of the Upper East Side, the Upper West Side offers superior accessibility via public transportation.",https://a0.muscache.com/pictures/prohost-api/Hosting-1139807825597315292/original/143f18bf-1841-45d2-a2c6-9d76492b7f9a.jpeg,162280872,https://www.airbnb.com/users/show/162280872,Urban Furnished,2017-12-11,"New York, NY","Urban Furnished is a leading corporate and liesure housing provider in New York City, offering close to 250 designer furnished apartments in prime locations throughout the city. In business since 2016, UF specializes in providing the best in comfort for extended stay accommodations.",within an hour,100%,83%,f,https://a0.muscache.com/im/pictures/user/4f7a1f2f-d04c-4646-9a8c-2ddfe2429dc8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4f7a1f2f-d04c-4646-9a8c-2ddfe2429dc8.jpg?aki_policy=profile_x_medium,Chelsea,259.0,406.0,"['email', 'phone']",t,t,Neighborhood highlights,Upper West Side,Manhattan,40.7796761,-73.9825455,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""Stove"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Hot water kettle"", ""Toaster"", ""Microwave"", ""Bed linens"", ""Pets allowed"", ""Smoke alarm"", ""Elevator"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Building staff""]",$235.00,30,365,30,30,365,365,30.0,365.0,,t,0,0,0,47,2025-06-17,1,1,0,0,1,60,14100.0,2024-09-22,2024-09-22,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,f,237,237,0,0,0.11
31400,1147823097401173414,https://www.airbnb.com/rooms/1147823097401173414,20250617032754,2025-06-17,previous scrape,3 Bed one block from Central Park,"Stay at our SPACIOUS 3 bedroom 1 bathroom apartment located just steps away from CENTRAL PARK in the Upper West Side. This gorgeous building is nestled near some of the best attractions the city has to offer. With unbeatable location - minutes from Central Park, Lincoln center, the natural history museum, and Riverside Park!",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE0NzgyMzA5NzQwMTE3MzQxNA==/original/bf0aacee-2c89-49f9-9db2-a6c33984e71d.jpeg,392735319,https://www.airbnb.com/users/show/392735319,Meir,2021-03-15,,"Hello there, I'm Meir, your friendly host and your gateway to a wonderful stay in our beautiful city. Hosting on Airbnb has been an incredible journey, and I can't wait to share my lovely home with you.

I absolutely love sharing my cozy home with travelers from all over the world. As a fellow adventurer, I understand the importance of a comfortable and enjoyable stay. My hosting style is all about providing a home away from home.",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/0b72d944-1879-4392-b12b-e42831890c03.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0b72d944-1879-4392-b12b-e42831890c03.jpg?aki_policy=profile_x_medium,,5.0,7.0,['phone'],t,t,,Upper West Side,Manhattan,40.79308,-73.97117,Entire rental unit,Entire home/apt,6,,1 bath,3.0,,"[""Essentials"", ""Stove"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Dining table"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Hot water kettle"", ""Toaster"", ""Paid washer \u2013 In building"", ""Microwave"", ""Bed linens"", ""Pets allowed"", ""Smoke alarm"", ""Paid dryer \u2013 In building"", ""Elevator"", ""Body soap"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Freezer"", ""Heating"", ""Air conditioning"", ""Dishwasher"", ""Coffee maker"", ""Shampoo""]",,30,365,30,30,365,365,30.0,365.0,,t,0,0,0,0,2025-06-17,38,34,2,0,30,255,,2024-05-18,2025-05-26,4.55,4.42,4.45,4.76,4.71,4.76,4.45,Exempt,t,5,5,0,0,2.88
31600,1158620843038330028,https://www.airbnb.com/rooms/1158620843038330028,20250617032754,2025-06-17,city scrape,New York City Family Duplex,"Create unforgettable memories at this unique, family-friendly 4-bedroom duplex in New York City. Perfect for families or groups, this spacious and stylish home warmly welcomes you. We are excited to offer a local's perspective on the city, ensuring you experience the best of what NYC has to offer. Enjoy all the comforts of home with the convenience of being close to major attractions, dining, and entertainment.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE1ODYyMDg0MzAzODMzMDAyOA%3D%3D/original/c37369a5-4a66-47ec-ab06-ff4f04a23762.jpeg,577784857,https://www.airbnb.com/users/show/577784857,Ness,2024-05-15,"New York, NY",,within a few hours,90%,98%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1.0,1.0,['phone'],f,t,,Washington Heights,Manhattan,40.85023,-73.93186,Private room in condo,Private room,8,2.0,2 baths,4.0,5.0,"[""Dedicated workspace"", ""Private living room"", ""Essentials"", ""Cooking basics"", ""Stove"", ""Blender"", ""Private entrance"", ""Dishes and silverware"", ""TV"", ""Smart lock"", ""Hot water"", ""Dining table"", ""Dryer"", ""Washer"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Crib"", ""Oven"", ""Hot water kettle"", ""Toaster"", ""Private patio or balcony"", ""Trash compactor"", ""Wine glasses"", ""Fire extinguisher"", ""Books and reading material"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""Cleaning available during stay"", ""First aid kit"", ""Conditioner"", ""Smoke alarm"", ""Body soap"", ""Clothing storage"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Paid parking lot on premises"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Freezer"", ""Heating"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Extra pillows and blankets"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Cleaning products"", ""Long term stays allowed"", ""Coffee"", ""Free street parking"", ""Shampoo"", ""Laundromat nearby""]",$386.00,3,365,3,3,365,365,3.0,365.0,,t,24,54,84,359,2025-06-17,22,22,0,192,15,255,98430.0,2024-06-25,2025-05-02,4.5,4.73,4.86,4.91,4.55,4.36,4.45,OSE-STRREG-0002257,f,1,0,1,0,1.84
31800,1167875540709032206,https://www.airbnb.com/rooms/1167875540709032206,20250617032754,2025-06-17,city scrape,"Blueground | UES,  w/d, near school & hospital","Feel at home wherever you choose to live with Blueground. You’ll love this pretty Lenox Hill furnished one bedroom apartment with its modern decor, fully equipped kitchen, and exquisite living room with great views. Ideally located, you’re close to all the best that Uptown has to offer! (ID #NYC1498)","This furnished property is situated in Lenox Hill, on the Upper East Side. Stretching from Central Park to the East River, the neighborhood has seen a rapid increase in locals wanting to call it home. Lenox Hill is full of noted cultural institutions such as the Frick Collection, Asia Society Museum and the Park Avenue Armory. Hunter College and Rockefeller University are also in the area, attracting hordes of students.",https://a0.muscache.com/pictures/prohost-api/Hosting-1167875540709032206/original/9de2d8e1-a5c7-4c98-8c3e-2b2c8f4e0427.jpeg,107434423,https://www.airbnb.com/users/show/107434423,Blueground,2016-12-16,"New York, NY","We’re Blueground, a global proptech company with several thousand move-in-ready apartments in a growing number of major cities around the world. With flexible terms and homes in vibrant, centrally based neighborhoods, you’ll feel at home and free to roam for as long as you want — a month, a year, or longer. 

Each apartment is thoughtfully designed with exclusive furnishings, fully equipped kitchens, and incredible amenities – making every day a five-star experience. From day one, you’ll enjoy high-speed Wi-Fi, premium linens, and smart home entertainment. Plus, access to pools, gyms, and outdoor spaces in select buildings.

Why stress over your apartment? We provide a hassle-free alternative — a consistent, quality guest experience that starts even before you arrive. Because we let you book our most up-to-date apartment listings online, confirm with a click, pay securely, and check in easily. 

Even better? You can enhance your stay with car rentals, grocery delivery, laundry services, and more through our special partnerships. 

During your stay
Upon arrival, you’ll either be greeted personally by a Blueground team member or given self-check-in instructions. The entire apartment is yours! You’ll enjoy reliable support via email, phone, and our Guest App, where you can request everything from a home cleaning to extra towels. 

We’ll share all details upon confirmation of your stay.",within an hour,99%,97%,f,https://a0.muscache.com/im/pictures/user/d0ad9599-6fc0-4be6-865e-ffe99142517c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d0ad9599-6fc0-4be6-865e-ffe99142517c.jpg?aki_policy=profile_x_medium,Cambridge,4887.0,5684.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Upper East Side,Manhattan,40.7658315,-73.9568257,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Cooking basics"", ""Private entrance"", ""TV"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Crib"", ""Oven"", ""Washer \u2013\u00a0In unit"", ""Microwave"", ""Bed linens"", ""Pets allowed"", ""Smoke alarm"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""High chair"", ""Dishwasher"", ""Coffee maker"", ""Dryer \u2013\u00a0In unit"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox""]",$341.00,31,1125,30,334,1125,1125,38.2,1125.0,,t,0,0,20,295,2025-06-17,0,0,0,128,0,0,0.0,,,,,,,,,,,t,1054,1054,0,0,
32000,1177479478277828907,https://www.airbnb.com/rooms/1177479478277828907,20250617032754,2025-06-17,city scrape,Comfortable Private Room #214 D,"This clean, spacious and glossy room is available for a long-term or a <br />   short-term staying. This room is also available for long-term and <br />   short-term rent.",Metro - 8 min,https://a0.muscache.com/pictures/prohost-api/Hosting-1177479478277828907/original/fa27cee8-8999-445d-b409-409a168ca744.jpeg,533234561,https://www.airbnb.com/users/show/533234561,Tina,2023-08-22,"New York, NY","I help manage homes around the US, particularly in NYC.
My goal is to provide you with a comfortable and enjoyable experience during your visit. 
Feel free to reach out with any questions or special requests. 
I look forward to hosting you!",within a few hours,99%,51%,f,https://a0.muscache.com/im/pictures/user/425242ef-f7cc-452d-b685-771d46f2a2aa.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/425242ef-f7cc-452d-b685-771d46f2a2aa.jpg?aki_policy=profile_x_medium,Northwest Washington,691.0,1212.0,"['email', 'phone']",t,t,Neighborhood highlights,Upper East Side,Manhattan,40.77575851260928,-73.9469163549032,Private room in rental unit,Private room,1,0.0,0 shared baths,4.0,1.0,"[""Dedicated workspace"", ""Microwave"", ""Smoke alarm"", ""Cooking basics"", ""Oven"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Wifi"", ""Hot water"", ""Carbon monoxide alarm"", ""Lockbox"", ""Heating"", ""Dishwasher""]",$85.00,30,365,30,30,365,365,30.0,365.0,,t,28,58,88,189,2025-06-17,0,0,0,189,0,0,0.0,,,,,,,,,,,f,280,27,253,0,
